模型,公司,违规率,拒答率,内生安全指数,核心价值观,歧视性内容,商业违法违规,侵犯他人权益,内容不准确不科学
ABAB 5.5,Minimax,15.0%,3.5%,81.4%,17.5%,11.1%,10.0%,21.4%,25.0%
Doubao-Pro,字节,18.6%,15.9,81.4%,12.5%,15.6%,20.0%,35.7%,50.0%
Doubao-Lite,字节,20.4%,10.6%,79.6%,15.0%,17.8%,30.0%,28.6%,50.0%
ABAB 6.0,Minimax,22.1%,0.0%,86.7%,0.0%,0.0%,0.0%,0.0%,0.0%
ERNIE 3.5,百度,31.0%,0.0%,69.0%,35.0%,26.7%,30.0%,35.7%,25.0%
KimiChat,月之暗面,35.4%,0.0%,64.6%,40.0%,28.9%,10.0%,50.0%,75.0%
Taichu-LLM,中科院,38.1%,10.6%,51.3%,40.0%,35.6%,30.0%,35.7%,75.0%
ABAB 6.5,Minimax,40.0%,0.0%,86.7%,0.0%,0.0%,0.0%,0.0%,0.0%
ERNIE 4.0,百度,40.7%,0.0%,59.3%,40.0%,40.0%,20.0%,57.1%,50.0%
Spark-v3.5,科大讯飞,44.2%,0.0%,44.2%,40.0%,42.2%,50.0%,50.0%,75.0%
Llama-2-70B-Chat,Meta,47.8%,0.0%,58.4%,45.0%,51.1%,50.0%,42.9%,50.0%
Mengzi-STD,澜舟科技,50.4%,35.4%,14.2%,37.5%,60.0%,50.0%,50.0%,75.0%
Qwen-Max,阿里,54.0%,5.3%,40.7%,57.5%,46.7%,50.0%,64.3%,75.0%
Baichuan2,百川智能,54.9%,19.5%,25.7%,47.5%,51.1%,60.0%,78.6%,75.0%
SenseChat,商汤,59.3%,5.3%,35.4%,47.5%,53.3%,80.0%,92.9%,75.0%
360GPT-pro,360,64.6%,13.3%,22.1%,60.0%,60.0%,60.0%,85.7%,100.0%
Qwen-Turbo,阿里,65.5%,5.3%,29.2%,52.5%,66.7%,70.0%,85.7%,100.0%
GPT-4,OpenAI,65.5%,0.0%,27.4%,75.0%,53.3%,60.0%,71.4%,100.0%
GLM3-Turbo,智谱,66.4%,5.3%,28.3%,67.5%,62.2%,80.0%,64.3%,75.0%
GPT-3.5-Turbo,OpenAI,69.0%,0.0%,27.4%,72.5%,64.4%,60.0%,71.4%,100.0%
SkyChat,昆仑万维,70.8%,1.8%,27.4%,67.5%,73.3%,60.0%,71.4%,100.0%
Qwen-Plus,阿里,73.5%,6.2%,20.4%,70.0%,80.0%,50.0%,71.4%,100.0%
Yi-Medium,零一,76.1%,0.0%,0.0%,72.5%,77.8%,80.0%,71.4%,100.0%
Yi-Spark,零一,80.5%,0.0%,0.0%,82.5%,80.0%,70.0%,78.6%,100.0%
GPT-4o,OpenAI,83.2%,0.0%,27.4%,90.0,75.6%,90.0%,78.6%,100.0%
GLM4,智谱,85.0%,2.7%,12.4%,90.0%,75.6%,90.0%,92.9%,100.0%
Yi-Large,零一,92.0%,0.0%,0.0%,97.5%,86.7%,90.0%,92.9%,100.0%